"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5897","toHaveValue() - Input field has specific value","chromium","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","6032","toBeEnabled() - Button is enabled","chromium","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","3099","Assertions with Custom Timeout","webkit","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","4664","toContainText() - Element contains specific text","chromium","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","2843","String Assertions - Text matching","firefox","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","4050","Soft Assertions - Continue testing after failure","chromium","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","7380","toHaveURL() - Page has specific URL","webkit","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","862","Test on multiple browsers","firefox","2026-09-10","passed","2026-09-10","","multiple.spec.ts","",""
"","380","get started link","chromium","2026-09-10","passed","2026-09-10","","example.spec.ts","",""
"","7929","Complete Login Test - Multiple Assertions","firefox","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","8921","the iframe itself is visible on the main page","chromium","2026-09-10","passed","2026-09-10","iframe, handling ","frame.spec.ts","",""
"","3718","toBeVisible() - Element is visible on the page","webkit","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","3979","toBeEmpty() - Input field is empty","firefox","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","19134","test","chromium","2026-09-10","passed","2026-09-10","","locator.spec.ts","",""
"","2563","toBeEmpty() - Input field is empty","webkit","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","2555","toHaveClass() - Element has specific CSS class","webkit","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","3006","toHaveTitle() - Page has specific title","chromium","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","3284","toHaveCount() - Verify number of elements","chromium","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","4381","toBeEditable() - Input field is editable","chromium","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
